transaction_date,volume,,,
2/7/14,7874.43,,,
2/8/14,3285.51,,,
2/9/14,2665.09,,,
2/10/14,9711.29,,,
2/11/14,9251.25,,,
2/12/14,9656.48,,,
2/13/14,10119.08,,,
2/14/14,8218.38,,,
2/15/14,2968.15,,,
2/16/14,2849.15,,,
2/17/14,9298.86,,,
2/18/14,8759.12,,,
2/19/14,9668.38,,,
2/20/14,8944.83,,,
2/21/14,7859.37,,,
2/22/14,3028.17,,,
2/23/14,2436.21,,,
2/24/14,10237.25,,,
2/25/14,9741.88,,,
2/26/14,9810.98,,,
2/27/14,9361.57,,,
2/28/14,8844.26,,,
3/1/14,2736.15,,,
3/2/14,2414.12,,,
3/3/14,9995,,,
3/4/14,9299.52,,,
3/5/14,9514.24,,,
3/6/14,10167.13,,,
3/7/14,8617.59,,,
3/8/14,3316.11,,,
3/9/14,2857.92,,,
3/10/14,9085.81,,,
3/11/14,9175.69,,,
3/12/14,10069.64,,,
3/13/14,9777.33,,,
3/14/14,8186.44,,,
3/15/14,3267.27,,,
3/16/14,2394.01,,,
3/17/14,9409.24,,,
3/18/14,9993.25,,,
3/19/14,10172.87,,,
3/20/14,9893.26,,,
3/21/14,8484.1,,,
3/22/14,2835.52,,,
3/23/14,2477.83,,,
3/24/14,9001.42,,,
3/25/14,8839.64,,,
3/26/14,10058.85,,,
3/27/14,9321.84,,,
3/28/14,8453.76,,,
3/29/14,3274.18,,,
3/30/14,2219.38,,,
3/31/14,9307.54,,,
4/1/14,8350.7,,,
4/2/14,11013.44,,,
4/3/14,8984.63,,,
4/4/14,8404.79,,,
4/5/14,2969.18,,,
4/6/14,2613.48,,,
4/7/14,10503.39,,,
4/8/14,10414.58,,,
4/9/14,11896.95,,,
4/10/14,9878.35,,,
4/11/14,9864.57,,,
4/12/14,2806.94,,,
4/13/14,2386.69,,,
4/14/14,9528.42,,,
4/15/14,9900.09,,,
4/16/14,9344.79,,,
4/17/14,9402.82,,,
4/18/14,4664.19,,,
4/19/14,2040.71,,,
4/20/14,1474.44,,,
4/21/14,3220.68,,,
4/22/14,8888.76,,,
4/23/14,11052.42,,,
4/24/14,8469.77,,,
4/25/14,8665.01,,,
4/26/14,3541.81,,,
4/27/14,2190.19,,,
4/28/14,10189.4,,,
4/29/14,9544.41,,,
4/30/14,9636.75,,,
5/1/14,9267.54,,,
5/2/14,7842.3,,,
5/3/14,3551.42,,,
5/4/14,1732.48,,,
5/5/14,4005.6,,,
5/6/14,9767.98,,,
5/7/14,8968.25,,,
5/8/14,10652.09,,,
5/9/14,10019.28,,,
5/10/14,3912.85,,,
5/11/14,2199.12,,,
5/12/14,9378.87,,,
5/13/14,9553.26,,,
5/14/14,10144.86,,,
5/15/14,9497.69,,,
5/16/14,8599.25,,,
